index,timestep,node,demand_el
423,t0001,n5688,96.6217150682344
424,t0001,n5689,18.759039781312698
425,t0001,n5690,37.5180795626254
426,t0001,n5692,33.11102550817277
427,t0001,n5693,33.11102550817277
428,t0001,n5694,116.46385929138071
429,t0001,n5695,47.30996731233235
422,t0001,n5687,34.79564432600088
430,t0001,n5696,17.43618244930093
432,t0001,n5711,11.822094314171506
433,t0001,n5732,15.4431528138366
434,t0001,n5733,33.11102550817277
435,t0001,n5734,105.591470720083
436,t0001,n5735,11.822094314171506
437,t0001,n5738,31.757946596892307
438,t0001,n5739,45.98927790238912
431,t0001,n5710,11.822094314171506
439,t0001,n5740,63.54196248260739
421,t0001,n5686,57.95577928864053
419,t0001,n5684,69.90552047219548
403,t0001,n5668,15.4431528138366
404,t0001,n5669,11.822094314171506
405,t0001,n5670,23.644188628343013
406,t0001,n5671,23.644188628343013
407,t0001,n5672,7.7215764069183
408,t0001,n5673,31.69947176476496
409,t0001,n5674,18.292935923208667
420,t0001,n5685,60.34755946047413
410,t0001,n5675,36.58587184641733
412,t0001,n5677,1131.6178925559016
413,t0001,n5678,29.20599119363465
414,t0001,n5679,58.411982387269305
415,t0001,n5680,18.292935923208667
416,t0001,n5681,36.58587184641733
417,t0001,n5682,69.59128865200177
418,t0001,n5683,100.87637431701812
411,t0001,n5676,124.71122439394316
402,t0001,n5667,62.06942460112938
440,t0001,nNL,11193.635
442,t0001,nPL,14466.59
463,t0001,n4583,0.0
464,t0001,n4584,0.0
465,t0001,n4585,0.0
466,t0001,n4586,0.0
467,t0001,n4589,0.0
468,t0001,n4590,0.0
469,t0001,n4591,0.0
462,t0001,n4569,0.0
470,t0001,n4593,0.0
472,t0001,n4596,0.0
473,t0001,n4778,0.0
474,t0001,n4783,0.0
475,t0001,n4793,0.0
476,t0001,n4798,0.0
477,t0001,n4799,0.0
478,t0001,n4800,0.0
471,t0001,n4595,0.0
441,t0001,nNO,15622.94
461,t0001,n4557,0.0
459,t0001,n4555,0.0
443,t0001,nCH,7095.59
444,t0001,n3348,0.0
445,t0001,n3453,0.0
446,t0001,n3512,0.0
447,t0001,n3520,0.0
448,t0001,n3581,0.0
449,t0001,n3587,0.0
460,t0001,n4556,0.0
450,t0001,n3610,0.0
452,t0001,n3739,0.0
453,t0001,n3827,0.0
454,t0001,n7090,0.0
455,t0001,n4494,0.0
456,t0001,n4496,0.0
457,t0001,n4497,0.0
458,t0001,n4498,0.0
451,t0001,n3735,0.0
479,t0001,n4813,0.0
401,t0001,n5666,22.386746121115515
399,t0001,n5664,7.7215764069183
343,t0001,n4786,131.39116097241535
344,t0001,n4787,18.902407871999984
345,t0001,n4788,37.80481574399997
346,t0001,n4789,83.07567307171789
347,t0001,n4790,135.18823962965317
348,t0001,n4791,54.10966734065608
349,t0001,n4844,21.558379911080717
342,t0001,n4785,84.99934681870059
350,t0001,n4845,43.11675982216143
352,t0001,n4848,43.08851134615344
353,t0001,n4852,161.6521162022002
354,t0001,n4854,156.49383337974783
355,t0001,n4855,95.17455185262752
356,t0001,n5534,112.57975232774152
357,t0001,n5535,16.471483482888264
358,t0001,n5536,30.154209792993598
351,t0001,n4847,115.49146787987326
359,t0001,n5537,5.988386333472082
341,t0001,n4784,65.26499345533091
339,t0001,n4781,114.73256716453648
323,t0001,n4764,263.61317506923643
324,t0001,n4765,625.1276140286891
325,t0001,n4766,31.20657576525715
326,t0001,n4767,154.94678717347435
327,t0001,n4768,166.25592786793652
328,t0001,n4769,242.35137551293872
329,t0001,n4770,73.35172455655366
340,t0001,n4782,229.46513432907292
330,t0001,n4771,11.010804983098136
332,t0001,n4773,276.00735284692337
333,t0001,n4774,156.27367827775967
334,t0001,n4775,28.47412853124525
335,t0001,n4776,144.8868654575275
336,t0001,n4777,157.73917355539143
337,t0001,n4779,54.41889223336037
338,t0001,n4780,109.13492413060452
331,t0001,n4772,22.021609966196277
400,t0001,n5665,15.4431528138366
360,t0001,n5538,11.976772666944164
362,t0001,n5540,13.92549653393292
383,t0001,n5599,78.81779896372593
384,t0001,n5643,15.495745320760026
385,t0001,n5649,33.11102550817277
386,t0001,n5650,86.24467245609439
387,t0001,n5651,111.774589087485
388,t0001,n5653,32.95731616252761
389,t0001,n5654,25.550079823398526
382,t0001,n5598,24.18692859006216
390,t0001,n5655,15.495745320760026
392,t0001,n5657,16.243549708633957
393,t0001,n5658,89.18331193800263
394,t0001,n5659,24.600386103665407
395,t0001,n5660,123.49036612690334
396,t0001,n5661,91.98283329320138
397,t0001,n5662,388.1664829059921
398,t0001,n5663,73.46822947410081
391,t0001,n5656,89.39723734418546
361,t0001,n5539,468.433823608622
381,t0001,n5597,36.68279079358704
379,t0001,n5592,24.991735238317247
363,t0001,n5541,27.85099306786584
364,t0001,n5542,77.51649141937222
365,t0001,n5543,5.196265544270238
366,t0001,n5544,10.392531088540476
367,t0001,n5545,20.785062177080952
368,t0001,n5546,10.392531088540476
369,t0001,n5547,20.785062177080952
380,t0001,n5596,24.991735238317247
370,t0001,n5549,59.35220143026294
372,t0001,n5551,16.471483482888264
373,t0001,n5552,32.94296696577653
374,t0001,n5553,13.92549653393292
375,t0001,n5554,24.18692859006216
376,t0001,n5555,24.18692859006216
377,t0001,n5556,41.08799250890347
378,t0001,n5591,12.495867619158624
371,t0001,n5550,24.991735238317247
481,t0001,n4826,0.0
482,t0001,n4836,0.0
483,t0001,n4839,0.0
585,t0001,n7884,0.0
586,t0001,n7888,0.0
587,t0001,n7889,0.0
588,t0001,n7890,0.0
589,t0001,n7892,0.0
590,t0001,n7897,0.0
591,t0001,n7901,0.0
584,t0001,n7879,0.0
592,t0001,n7907,0.0
594,t0001,n7913,0.0
595,t0001,n7916,0.0
596,t0001,n7933,0.0
597,t0001,n7934,0.0
598,t0001,n7938,0.0
599,t0001,n7939,0.0
600,t0001,n7941,0.0
593,t0001,n7910,0.0
601,t0001,n7944,0.0
583,t0001,n7878,0.0
581,t0001,n7872,0.0
565,t0001,n7783,0.0
566,t0001,n7786,0.0
567,t0001,n7788,0.0
568,t0001,n7790,0.0
569,t0001,n7791,0.0
570,t0001,n7795,0.0
571,t0001,n7798,0.0
582,t0001,n7873,0.0
572,t0001,n7800,0.0
574,t0001,n7823,0.0
575,t0001,n7850,0.0
576,t0001,n7852,0.0
577,t0001,n7857,0.0
578,t0001,n7863,0.0
579,t0001,n7870,0.0
580,t0001,n7871,0.0
573,t0001,n7805,0.0
564,t0001,n7769,0.0
602,t0001,n7952,0.0
604,t0001,n7961,0.0
625,t0001,n8055,0.0
626,t0001,n8060,0.0
627,t0001,n8061,0.0
628,t0001,n8066,0.0
629,t0001,nBEL_north_sea_1,0.0
630,t0001,nDNK_baltic_sea_1,0.0
631,t0001,nDNK_north_sea_1,0.0
624,t0001,n8052,0.0
632,t0001,nFRA_north_sea_1,0.0
634,t0001,nFRA_mediterranean_sea_1,0.0
635,t0001,nDEU_north_sea_1,0.0
636,t0001,nDEU_baltic_sea_1,0.0
637,t0001,nNLD_north_sea_1,0.0
638,t0001,nPOL_baltic_sea_1,0.0
639,t0001,nSWE_north_sea_1,0.0
640,t0001,nSWE_baltic_sea_1,0.0
633,t0001,nFRA_atlantic_1,0.0
603,t0001,n7959,0.0
623,t0001,n8051,0.0
621,t0001,n8046,0.0
605,t0001,n7967,0.0
606,t0001,n7975,0.0
607,t0001,n7976,0.0
608,t0001,n7983,0.0
609,t0001,n7984,0.0
610,t0001,n7988,0.0
611,t0001,n7989,0.0
622,t0001,n8047,0.0
612,t0001,n7996,0.0
614,t0001,n8002,0.0
615,t0001,n8013,0.0
616,t0001,n8015,0.0
617,t0001,n8016,0.0
618,t0001,n8028,0.0
619,t0001,n8043,0.0
620,t0001,n8045,0.0
613,t0001,n7998,0.0
563,t0001,n7760,0.0
562,t0001,n7756,0.0
561,t0001,n7745,0.0
504,t0001,n6839,0.0
505,t0001,n6840,0.0
506,t0001,n6841,0.0
507,t0001,n6842,0.0
508,t0001,n6843,0.0
509,t0001,n6844,0.0
510,t0001,n6845,0.0
503,t0001,n6203,0.0
511,t0001,n6846,0.0
513,t0001,n6848,0.0
